sku,name,price,aisle,,
74871,B BY FONBADET,$7.99,WINE,,
76035,BADET CLEMET NDP RED BLEND,$6.99,WINE,,
78754,BARON DE FONTENILLES PAUILLAC,$18.99,WINE,,
58360,BELLES VIGNES SAUV BLANC VIN DE FRANCE,$6.99,WINE,,
70943,BLUE SHELL SAUV BLANC,$7.99,WINE,,
76977,EXCELIUM BORDEAUX SUPERIEUR 2016,$10.99,WINE,,
73598,JOSEPHINE CAB SAUV PAYS DOC,$6.99,WINE,,
51550,LAURENT DUBLANC COTES DU RHONE,$7.99,WINE,,
75740,LES SOMMETS CORBIERES,$6.99,WINE,,
64340,MACON VERZE CHARD,$11.99,WINE,,
62771,MAISON BARBOULOT IGP CAB SYRAH,$7.49,WINE,,
96771,MARIA JOLA SANGRIA 1.5L,$6.99,WINE,,
95190,PONTIFICIS GSM FRANCE,$7.99,WINE,,
76640,QUINSON LA LARME DOR CHABLIS,$16.99,WINE,,
97163,REVELATION VDP CAB-MER FRANCE,$7.99,WINE,,
97161,REVELATION VDP CHARD FRANCE,$7.99,WINE,,
74327,RICHEBOIS COTES DU RHONE VILLAGES,$7.99,WINE,,
76597,TEMOIN DU TEMPS CABERNET SAUVIGNON,$5.99,WINE,,
70495,TENEBRES GSM,$6.99,WINE,,
78325,TJ PLATINUM RESERVE SAINT EMILION LOT 111,$14.99,WINE,,
81577,VIGNOBLES LACHETEAU VOUVRAY,$9.99,WINE,,
91699,VIGNOBLES LACHETEAU MUSCADET SEVRE ET MAINE,$7.99,WINE,,
86258,VIGNOBLES LACHETEAU POUILLY FUME,$15.99,WINE,,
78189,VIN NOUVEAU SYRAH 2023,$5.99,WINE,,
73187,CH DES BERTINS MEDOC,$10.99,WINE,,
69711,CH HAUT CLARIBES,$8.99,WINE,,
58224,CH LE GRAND FAURIE SAINT EMILION GRAND CRU,$19.99,WINE,,
51895,CH TAYAC MARGAUX,$25.99,WINE,,
92948,CH TERTRE DU MOULIN ST EMILION,$17.99,WINE,,
73439,DUVERGEY TABOUREAU SAVIGNY LES BEAUNE,$20.99,WINE,,
95074,LES PORTES DE BORDEAUX,$7.49,WINE,,
51045,LES PORTES DE BORDEAUX BLANC,$7.49,WINE,,
93914,SAUVIGNON DE SEGUIN BORDEAUX BLANC,$7.99,WINE,,
75369,TJ DIAMOND RES PAUILLAC LOT 4,$19.99,WINE,,
40785,DR BECKERMANN LIEBFRAUMILCH,$5.99,WINE,,
61437,EMMA REICHART DRY RIESLING,$5.99,WINE,,
99461,JOSEPH HANDLER RIESLING PFALZ,$7.99,WINE,,
99462,JOSEPH HANDLER SWEET RED GERMANY,$7.99,WINE,,
97214,1967 GRIFONE TOSCANA ROSSO,$6.99,WINE,,
70307,CA STORICA AMARONE DELLA VALPOLICELLA DOCG,$15.99,WINE,,
51041,CASONE TOSCANO SUPER TUSCAN ESTATE IGT,$10.99,WINE,,
66547,CECILIA BERETTA AMARONE DOCG,$23.99,WINE,,
66544,CECILIA BERETTA VALPOLICELLA RIPASSO,$11.99,WINE,,
79457,DAQUINO CHIANTI 1.5LT,$12.99,WINE,,
40631,DAQUINO CHIANTI DOCG,$6.99,WINE,,
92489,EPICURO NERO DAVOLA SICILIA,$5.99,WINE,,
97373,EPICURO PRIMITIVO DI MANDURIA,$6.99,WINE,,
62763,FIOR DI VINO CHIANTI CLASSICO RISERVA,$7.99,WINE,,
97432,GRIFONE PRIMITIVO PUGLIA,$5.99,WINE,,
51006,GRIFONE SANGIOVESE IGT,$4.99,WINE,,
67714,IL BORGO COLLINARE NERO DAVOLA DOC,$6.99,WINE,,
62135,NERO GRANDE APPASIMENTO ROSSO PUGLIA,$6.99,WINE,,
75340,PATROFERNO APPASSIMENTO PRIMITIVO PUGLIA IGT,$12.99,WINE,,
98304,ROSA DELL OLMO BARBERA DASTI,$6.99,WINE,,
98310,ROSA DELL OLMO BAROLO,$14.99,WINE,,
73305,SURYA MOSCATO,$5.99,WINE,,
48838,VILLA CERRINA MONTEPULCIANO DABRUZZO,$5.99,WINE,,
51486,BLOCK WHITE WINE PINOT GRIGIO,$14.99,WINE,,
40636,DAQUINO PINOT GRIGIO,$4.99,WINE,,
74750,GIARDINO PINOT GRIGIO DELLE VENEZIE VIVACE,$5.99,WINE,,
70059,GIARDINO PINOT GRIGIO DOC DELLA VENEZIE,$4.49,WINE,,
48785,VILLA BORGHETTI LUNA PINOT GRIGIO,$6.99,WINE,,
98153,VILLA SONIA PINOT GRIGIO VENEZIA,$6.49,WINE,,
67688,NIKAU POINT SAUV BLANC MARLBOROUGH,$6.99,WINE,,
98693,PICTON BAY NZ SAUV BLANC,$7.99,WINE,,
93912,SAUVIGNON REPUBLIC NEW ZEALAND SB,$8.99,WINE,,
52074,THE PASS SAUV BLANC MARLBOROUGH NZ,$10.99,WINE,,
63002,TUATEA SAUV BLANC MARLBOROUGH CBV,$7.99,WINE,,
61348,EL CASTILLA SYRAH,$8.99,WINE,,
54787,JAVIER SAN PEDRO RANDEZ RIOJA TEMPRANILLO,$7.99,WINE,,
52921,LA GRANJA 360 VERDEJO VIURA,$6.49,WINE,,
93133,LA GRANJA TEMPRANILLO SPAIN,$5.99,WINE,,
53692,LA SONRIENTE GARNACHA SPANISH WINE,$6.99,WINE,,
71661,MARQUES DE COLBERT RESERVA,$5.99,WINE,,
64012,OXTE SILENCE RED BLEND,$5.99,WINE,,
61042,PATON CLEMENTE TEMPRANILLO CRIANZA,$5.99,WINE,,
64250,PUERTA DE PLATA RESERVA 2013,$8.99,WINE,,
64249,SATIS DEI SYRAH GARNACHA,$8.99,WINE,,
